departamento_origen_id_PK;departamento_origen
6854;25 de Mayo
6588;9 de Julio
6007;Adolfo Alsina
6014;Adolfo Gonzales Chaves
6021;Alberti
6077;Arrecifes
6042;Ayacucho
6049;Azul
6056;Bahía Blanca
6063;Balcarce
6070;Baradero
6084;Benito Juárez
6091;Berazategui
6098;Berisso
6105;Bolívar
6112;Bragado
6119;Brandsen
6126;Campana
6134;Cañuelas
6140;Capitán Sarmiento
6147;Carlos Casares
6154;Carlos Tejedor
6161;Carmen de Areco
6168;Castelli
6210;Chacabuco
6217;Chascomús
6224;Chivilcoy
6175;Colón
6182;Coronel de Marina Leonardo Rosales
6189;Coronel Dorrego
6196;Coronel Pringles
6203;Coronel Suárez
6231;Daireaux
6238;Dolores
6260;Esteban Echeverría
6266;Exaltación de la Cruz
6274;Florencio Varela
6277;Florentino Ameghino
6280;General Alvarado
6287;General Alvear
6294;General Arenales
6301;General Belgrano
6308;General Guido
6315;General Juan Madariaga
6322;General La Madrid
6329;General Las Heras
6336;General Lavalle
6343;General Paz
6351;General Pinto
6357;General Pueyrredón
6364;General Rodríguez
6385;General Viamonte
6392;General Villegas
6399;Guaminí
6406;Hipólito Yrigoyen
6413;Junín
6441;La Plata
6448;Laprida
6455;Las Flores
6462;Leandro N. Alem
6466;Lezama
6469;Lincoln
6476;Lobería
6483;Lobos
6497;Luján
6505;Magdalena
6511;Maipú
6518;Mar Chiquita
6525;Marcos Paz
6532;Mercedes
6547;Monte
6574;Navarro
6581;Necochea
6595;Olavarría
6602;Patagones
6609;Pehuajó
6616;Pellegrini
6623;Pergamino
6630;Pila
6638;Pilar
6648;Presidente Perón
6651;Puán
6655;Punta Indio
6665;Ramallo
6672;Rauch
6679;Rivadavia
6686;Rojas
6693;Roque Pérez
6700;Saavedra
6707;Saladillo
6721;Salliqueló
6714;Salto
6728;San Andrés de Giles
6735;San Antonio de Areco
6742;San Cayetano
6749;San Fernando
6763;San Nicolás
6770;San Pedro
6778;San Vicente
6784;Suipacha
6791;Tandil
6798;Tapalqué
6812;Tordillo
6819;Tornquist
6826;Trenque Lauquen
6833;Tres Arroyos
6847;Tres Lomas
6875;Villarino
6882;Zárate
10007;Ambato
10014;Ancasti
10042;Capayán
10056;El Alto
10063;Fray Mamerto Esquiú
10070;La Paz
10077;Paclín
10098;Santa Rosa
22126;1° de Mayo
22036;12 de Octubre
22039;2 de Abril
22168;25 de Mayo
22105;9 de Julio
22007;Almirante Brown
22014;Bermejo
22028;Chacabuco
22021;Comandante Fernández
22043;Fray Justo Santa María de Oro
22049;General Belgrano
22056;General Donovan
22063;General Güemes
22070;Independencia
22077;Libertad
22084;Libertador General San Martín
22091;Maipú
22098;Mayor Luis J. Fontana
22112;O'Higgins
22119;Presidencia de la Plaza
22133;Quitilipi
22140;San Fernando
22147;San Lorenzo
22154;Sargento Cabral
22161;Tapenagá
26007;Biedma
26014;Cushamen
26035;Futaleufú
26042;Gaiman
26056;Languiñeo
26070;Paso de Indios
26077;Rawson
26084;Río Senguer
26091;Sarmiento
26098;Tehuelches
14007;Calamuchita
14014;Capital
14021;Colón
14028;Cruz del Eje
14035;General Roca
14042;General San Martín
14049;Ischilín
14056;Juárez Celman
14063;Marcos Juárez
14070;Minas
14077;Pocho
14084;Presidente Roque Sáenz Peña
14091;Punilla
14098;Río Cuarto
14105;Río Primero
14112;Río Seco
14119;Río Segundo
14126;San Alberto
14133;San Javier
14140;San Justo
14147;Santa María
14154;Sobremonte
14161;Tercero Arriba
14168;Totoral
14175;Tulumba
14182;Unión
18007;Bella Vista
18014;Berón de Astrada
18021;Capital
18028;Concepción
18035;Curuzu Cuatia
18042;Empedrado
18049;Esquina
18056;General Alvear
18063;General Paz
18070;Goya
18077;Itatí
18084;Ituzaingó
18091;Lavalle
18098;Mburucuyá
18105;Mercedes
18112;Monte Caseros
18119;Paso de los Libres
18126;Saladas
18133;San Cosme
18140;San Luis del Palmar
18147;San Martín
18154;San Miguel
18161;San Roque
18168;Santo Tomé
18175;Sauce
30008;Colón
30015;Concordia
30021;Diamante
30028;Federación
30035;Federal
30042;Feliciano
30049;Gualeguay
30056;Gualeguaychú
30063;Islas del Ibicuy
30070;La Paz
30077;Nogoyá
30084;Paraná
30088;San Salvador
30091;Tala
30098;Uruguay
30105;Victoria
30113;Villaguay
34007;Bermejo
34014;Formosa
34021;Laishí
34028;Matacos
34035;Patiño
34042;Pilagás
34049;Pilcomayo
34056;Pirané
38014;El Carmen
38042;Palpalá
38070;Santa Bárbara
42007;Atreucó
42014;Caleu Caleu
42021;Capital
42028;Catriló
42049;Chalileo
42056;Chapaleufú
42063;Chical Co
42035;Conhelo
42042;Curacó
42070;Guatraché
42077;Hucal
42084;Lihuel Calel
42091;Limay Mahuida
42098;Loventué
42105;Maracó
42112;Puelén
42119;Quemú Quemú
42126;Rancul
42133;Realicó
42140;Toay
42147;Trenel
42154;Utracán
46014;Capital
46035;Chamical
46056;General Ángel V. Peñaloza
46063;General Belgrano
46070;General Juan F. Quiroga
46084;General Ocampo
46091;General San Martín
46105;Independencia
46112;Rosario Vera Peñaloza
50014;General Alvear
50028;Guaymallén
50042;La Paz
50049;Las Heras
50056;Lavalle
50077;Malargüe
50084;Rivadavia
50091;San Carlos
50098;San Martín
50105;San Rafael
50112;Santa Rosa
50126;Tupungato
54119;25 de Mayo
54007;Apóstoles
54014;Cainguás
54021;Candelaria
54028;Capital
54035;Concepción
54042;Eldorado
54049;General Manuel Belgrano
54056;Guaraní
54063;Iguazú
54070;Leandro N. Alem
54077;Libertador General San Martín
54084;Montecarlo
54091;Oberá
54098;San Ignacio
54105;San Javier
54112;San Pedro
58007;Aluminé
58014;Añelo
58021;Catán Lil
58042;Chos Malal
58028;Collón Curá
58035;Confluencia
58049;Huiliches
58056;Lácar
58063;Loncopué
58070;Los Lagos
58077;Minas
58084;Ñorquín
58098;Picún Leufú
58105;Picunches
58112;Zapala
62091;25 de Mayo
62049;9 de julio
62007;Adolfo Alsina
62014;Avellaneda
62021;Bariloche
62028;Conesa
62035;El Cuy
62042;General Roca
62056;Ñorquinco
62063;Pichi Mahuida
62070;Pilcaniyeu
62077;San Antonio
62084;Valcheta
66007;Anta
66021;Cafayate
66028;Capital
66035;Cerrillos
66042;Chicoana
66049;General Güemes
66056;General José de San Martín
66063;Guachipas
66077;La Caldera
66084;La Candelaria
66098;La Viña
66112;Metán
66126;Orán
66133;Rivadavia
66140;Rosario de la Frontera
66147;Rosario de Lerma
66154;San Carlos
70014;Angaco
70091;San Martín
70119;Valle Fértil
74007;Ayacucho
74014;Belgrano
74028;Chacabuco
74021;Coronel Pringles
74035;General Pedernera
74042;Gobernador Dupuy
74056;Juan Martín de Pueyrredón
74049;Junín
74063;Libertador General San Martín
78007;Corpen Aike
78021;Güer Aike
78028;Lago Argentino
78035;Lago Buenos Aires
78049;Río Chico
82077;9 de Julio
82007;Belgrano
82014;Caseros
82021;Castellanos
82035;Garay
82042;General López
82049;General Obligado
82056;Iriondo
82063;La Capital
82070;Las Colonias
82084;Rosario
82091;San Cristóbal
82098;San Javier
82105;San Jerónimo
82112;San Justo
82119;San Lorenzo
82126;San Martín
82133;Vera
82028;Villa Constitución
86007;Aguirre
86014;Alberdi
86021;Atamisqui
86028;Avellaneda
86035;Banda
86042;Belgrano
86049;Capital
86063;Choya
86056;Copo
86077;General Taboada
86084;Guasayán
86091;Jiménez
86098;Juan F. Ibarra
86105;Loreto
86112;Mitre
86119;Moreno
86126;Ojo de Agua
86133;Pellegrini
86140;Quebrachos
86147;Río Hondo
86154;Rivadavia
86161;Robles
86168;Salavina
86175;San Martín
94008;Río Grande
94015;Ushuaia
90007;Burruyacú
90035;Graneros
90049;La Cocha
90056;Leales
90112;Trancas
6245;Ensenada
6252;Escobar
6427;La Matanza
10021;Andalgalá
10035;Belén
10112;Valle Viejo
38021;Dr. Manuel Belgrano
38056;San Antonio
50035;Junín
50070;Maipú
50119;Tunuyán
70007;Albardón
70042;Chimbas
70056;Jáchal
70070;Pocito
78014;Deseado
86070;Figueroa
90091;Simoca
2000;Ciudad Autónoma de Buenos Aires
26021;Escalante
34063;Ramón Lista
50063;Luján de Cuyo
58091;Pehuenches
86182;Sarmiento
86189;Silípica
90119;Yerba Buena
38063;San Pedro
90014;Cruz Alta
26105;Telsen
38035;Ledesma
38094;Tilcara
46021;Castro Barros
70126;25 de Mayo
70035;Caucete
70077;Rawson
90098;Tafí del Valle
26049;Gastre
6270;José M. Ezeiza
70105;Sarmiento
10091;Santa María
26063;Mártires
66119;Molinos
70133;Zonda
90105;Tafí Viejo
70049;Iglesia
38007;Cochinoca
38098;Tumbaya
70098;Santa Lucía
6412;José C. Paz
6490;Lomas de Zamora
38112;Yaví
70063;9 de Julio
10049;Capital
90021;Chicligasta
38028;Humahuaca
90063;Lules
78042;Magallanes
38105;Valle Grande
6539;Merlo
