departamento_destino_id_PK;departamento_destino
6854;25 de Mayo
6588;9 de Julio
6021;Alberti
6105;Bolívar
6112;Bragado
6224;Chivilcoy
6287;General Alvear
6385;General Viamonte
6406;Hipólito Yrigoyen
6483;Lobos
6505;Magdalena
6511;Maipú
6574;Navarro
6595;Olavarría
6655;Punta Indio
6693;Roque Pérez
6707;Saladillo
6826;Trenque Lauquen
14098;Río Cuarto
30049;Gualeguay
42028;Catriló
82056;Iriondo
82028;Villa Constitución
6049;Azul
6119;Brandsen
6147;Carlos Casares
6154;Carlos Tejedor
6301;General Belgrano
6392;General Villegas
6413;Junín
6462;Leandro N. Alem
6469;Lincoln
6518;Mar Chiquita
6525;Marcos Paz
6679;Rivadavia
6784;Suipacha
14035;General Roca
14112;Río Seco
14182;Unión
42105;Maracó
42154;Utracán
6007;Adolfo Alsina
6203;Coronel Suárez
6322;General La Madrid
6351;General Pinto
6399;Guaminí
6651;Puán
6721;Salliqueló
6847;Tres Lomas
42021;Capital
42035;Conhelo
42070;Guatraché
42077;Hucal
6014;Adolfo Gonzales Chaves
6084;Benito Juárez
6189;Coronel Dorrego
6196;Coronel Pringles
6448;Laprida
6476;Lobería
6547;Monte
6581;Necochea
6616;Pellegrini
6742;San Cayetano
6770;San Pedro
6791;Tandil
6833;Tres Arroyos
74021;Coronel Pringles
74042;Gobernador Dupuy
82014;Caseros
82042;General López
6210;Chacabuco
6077;Arrecifes
6134;Cañuelas
6140;Capitán Sarmiento
6623;Pergamino
6665;Ramallo
6042;Ayacucho
6063;Balcarce
6070;Baradero
6168;Castelli
6217;Chascomús
6238;Dolores
6266;Exaltación de la Cruz
6308;General Guido
6315;General Juan Madariaga
6329;General Las Heras
6441;La Plata
6532;Mercedes
6630;Pila
6672;Rauch
6728;San Andrés de Giles
6735;San Antonio de Areco
6798;Tapalqué
6812;Tordillo
14007;Calamuchita
14140;San Justo
14161;Tercero Arriba
42147;Trenel
82084;Rosario
82126;San Martín
6455;Las Flores
6609;Pehuajó
30063;Islas del Ibicuy
42133;Realicó
6056;Bahía Blanca
6182;Coronel de Marina Leonardo Rosales
6819;Tornquist
6875;Villarino
82070;Las Colonias
6280;General Alvarado
6357;General Pueyrredón
6882;Zárate
42056;Chapaleufú
6294;General Arenales
6686;Rojas
14168;Totoral
14175;Tulumba
6091;Berazategui
6277;Florentino Ameghino
42119;Quemú Quemú
6343;General Paz
6364;General Rodríguez
6778;San Vicente
6427;La Matanza
6638;Pilar
14105;Río Primero
6161;Carmen de Areco
14042;General San Martín
14063;Marcos Juárez
6714;Salto
42007;Atreucó
14056;Juárez Celman
6245;Ensenada
6466;Lezama
6175;Colón
6700;Saavedra
14084;Presidente Roque Sáenz Peña
74056;Juan Martín de Pueyrredón
6231;Daireaux
6497;Luján
30021;Diamante
74028;Chacabuco
10070;La Paz
82021;Castellanos
82119;San Lorenzo
6336;General Lavalle
18119;Paso de los Libres
30056;Gualeguaychú
42098;Loventué
42126;Rancul
82105;San Jerónimo
42014;Caleu Caleu
30077;Nogoyá
6098;Berisso
14021;Colón
30105;Victoria
70035;Caucete
6602;Patagones
26014;Cushamen
26042;Gaiman
26077;Rawson
62091;25 de Mayo
62007;Adolfo Alsina
62014;Avellaneda
62028;Conesa
62042;General Roca
78035;Lago Buenos Aires
82112;San Justo
6763;San Nicolás
74035;General Pedernera
34035;Patiño
6126;Campana
6648;Presidente Perón
82007;Belgrano
86119;Moreno
30091;Tala
10077;Paclín
10014;Ancasti
86063;Choya
10112;Valle Viejo
10056;El Alto
10042;Capayán
14049;Ischilín
14119;Río Segundo
86189;Silípica
10098;Santa Rosa
90035;Graneros
22126;1° de Mayo
22168;25 de Mayo
22014;Bermejo
22056;General Donovan
22063;General Güemes
22077;Libertad
22084;Libertador General San Martín
22161;Tapenagá
86098;Juan F. Ibarra
86161;Robles
22036;12 de Octubre
22039;2 de Abril
22028;Chacabuco
22043;Fray Justo Santa María de Oro
22098;Mayor Luis J. Fontana
86014;Alberdi
22112;O'Higgins
66049;General Güemes
22007;Almirante Brown
22021;Comandante Fernández
22049;General Belgrano
22119;Presidencia de la Plaza
22133;Quitilipi
22147;San Lorenzo
22154;Sargento Cabral
66007;Anta
66042;Chicoana
66147;Rosario de Lerma
82049;General Obligado
90056;Leales
22105;9 de Julio
22070;Independencia
18042;Empedrado
18063;General Paz
38063;San Pedro
66056;General José de San Martín
66112;Metán
66119;Molinos
66126;Orán
66140;Rosario de la Frontera
86056;Copo
86133;Pellegrini
22140;San Fernando
34021;Laishí
34049;Pilcomayo
82091;San Cristóbal
82133;Vera
22091;Maipú
34014;Formosa
82077;9 de Julio
86126;Ojo de Agua
18021;Capital
18084;Ituzaingó
14147;Santa María
34007;Bermejo
86035;Banda
86168;Salavina
18140;San Luis del Palmar
34056;Pirané
46014;Capital
66028;Capital
66133;Rivadavia
86091;Jiménez
66035;Cerrillos
54028;Capital
82063;La Capital
86028;Avellaneda
26035;Futaleufú
42112;Puelén
62056;Ñorquinco
26098;Tehuelches
26049;Gastre
62084;Valcheta
26084;Río Senguer
78014;Deseado
26091;Sarmiento
14091;Punilla
10091;Santa María
14028;Cruz del Eje
14154;Sobremonte
30070;La Paz
46084;General Ocampo
14070;Minas
14077;Pocho
46035;Chamical
46063;General Belgrano
70119;Valle Fértil
14126;San Alberto
50042;La Paz
70014;Angaco
14133;San Javier
14014;Capital
50056;Lavalle
74007;Ayacucho
74049;Junín
74063;Libertador General San Martín
50091;San Carlos
86105;Loreto
86140;Quebrachos
86112;Mitre
86007;Aguirre
50028;Guaymallén
18007;Bella Vista
18091;Lavalle
18161;San Roque
30035;Federal
86077;General Taboada
18014;Berón de Astrada
18133;San Cosme
18154;San Miguel
18028;Concepción
18035;Curuzu Cuatia
18070;Goya
18098;Mburucuyá
18105;Mercedes
18126;Saladas
18168;Santo Tomé
18049;Esquina
18112;Monte Caseros
18147;San Martín
18175;Sauce
30008;Colón
30015;Concordia
30028;Federación
30042;Feliciano
30084;Paraná
30088;San Salvador
30098;Uruguay
30113;Villaguay
82098;San Javier
18056;General Alvear
54035;Concepción
54091;Oberá
18077;Itatí
54070;Leandro N. Alem
54105;San Javier
90007;Burruyacú
54007;Apóstoles
50105;San Rafael
82035;Garay
46112;Rosario Vera Peñaloza
38014;El Carmen
34028;Matacos
34042;Pilagás
90091;Simoca
86042;Belgrano
38021;Dr. Manuel Belgrano
38042;Palpalá
38056;San Antonio
38070;Santa Bárbara
42140;Toay
42084;Lihuel Calel
42063;Chical Co
74014;Belgrano
42091;Limay Mahuida
42042;Curacó
42049;Chalileo
50014;General Alvear
50077;Malargüe
46070;General Juan F. Quiroga
46091;General San Martín
50112;Santa Rosa
50119;Tunuyán
50049;Las Heras
50126;Tupungato
50098;San Martín
50063;Luján de Cuyo
54021;Candelaria
54077;Libertador General San Martín
54098;San Ignacio
54042;Eldorado
54063;Iguazú
54084;Montecarlo
54049;General Manuel Belgrano
54056;Guaraní
58007;Aluminé
58014;Añelo
58049;Huiliches
58112;Zapala
58084;Ñorquín
58098;Picún Leufú
62070;Pilcaniyeu
58105;Picunches
58028;Collón Curá
58042;Chos Malal
58056;Lácar
58063;Loncopué
62049;9 de julio
62035;El Cuy
62063;Pichi Mahuida
26007;Biedma
62021;Bariloche
62077;San Antonio
66098;La Viña
66154;San Carlos
38098;Tumbaya
66021;Cafayate
66063;Guachipas
66077;La Caldera
66084;La Candelaria
90112;Trancas
70042;Chimbas
50035;Junín
50084;Rivadavia
78007;Corpen Aike
78021;Güer Aike
78028;Lago Argentino
78049;Río Chico
86154;Rivadavia
86147;Río Hondo
10035;Belén
86084;Guasayán
86070;Figueroa
94008;Río Grande
86049;Capital
6252;Escobar
6260;Esteban Echeverría
6515;Malvinas Argentinas
6539;Merlo
6568;Morón
6658;Quilmes
6805;Tigre
6560;Moreno
6749;San Fernando
6840;Tres de Febrero
50070;Maipú
58035;Confluencia
10049;Capital
90077;Río Chico
10063;Fray Mamerto Esquiú
90084;Capital
90063;Lules
90014;Cruz Alta
26021;Escalante
70028;Capital
54014;Cainguás
2000;Ciudad Autónoma de Buenos Aires
6274;Florencio Varela
6412;José C. Paz
26056;Languiñeo
10007;Ambato
34063;Ramón Lista
46105;Independencia
54119;25 de Mayo
54112;San Pedro
58021;Catán Lil
58091;Pehuenches
58077;Minas
70105;Sarmiento
90098;Tafí del Valle
94015;Ushuaia
10021;Andalgalá
26105;Telsen
70007;Albardón
38035;Ledesma
38094;Tilcara
70126;25 de Mayo
70077;Rawson
86182;Sarmiento
90105;Tafí Viejo
46056;General Ángel V. Peñaloza
86175;San Martín
90049;La Cocha
90042;Juan Bautista Alberdi
26070;Paso de Indios
58070;Los Lagos
70056;Jáchal
70070;Pocito
38007;Cochinoca
70112;Ullum
70098;Santa Lucía
78042;Magallanes
6270;José M. Ezeiza
10084;Pomán
46021;Castro Barros
70063;9 de Julio
26063;Mártires
38112;Yaví
70091;San Martín
66014;Cachi
38105;Valle Grande
90119;Yerba Buena
46119;San Blas de Los Sauces
90021;Chicligasta
